Item Name,Description,Category,Price (RM),Available,Unit,Min Order,Max Order,Prep Time (min),Halal,Vegetarian,Vegan,Spicy,Spicy Level,Allergens,Tags,Bulk Price (RM),Bulk Min Qty,Image URL,Customizations,Notes
Nasi Lemak Special,Traditional coconut rice with sambal and sides,Main Course,12.50,Yes,pax,1,,25,Yes,No,No,Yes,2,"nuts, eggs","malaysian, traditional",11.00,10,https://example.com/nasi-lemak.jpg,"Protein*: Chicken(+3.00), Beef(+4.00), Fish(+3.50); Spice Level: Mild(+0), Medium(+0), Hot(+0)",
Teh Tarik,Traditional pulled milk tea,Beverages,3.50,Yes,cup,1,,5,Yes,Yes,No,No,,,traditional,3.00,5,,"Sweetness: Less Sweet(+0), Normal(+0), Extra Sweet(+0); Temperature: Hot(+0), Iced(+0.50)",
Roti Canai,Flaky flatbread served with curry dhal,Breakfast,2.00,Yes,piece,1,10,15,Yes,Yes,No,No,,gluten,traditional,1.80,5,,"Curry: Dhal(+0), Fish Curry(+1.00), Chicken Curry(+1.50)",
Mee Goreng,Spicy fried noodles with vegetables,Main Course,8.50,Yes,pax,1,,20,Yes,No,No,Yes,3,"gluten, soy","malaysian, spicy",7.50,8,,"Protein*: Chicken(+2.00), Beef(+3.00), Seafood(+4.00), Tofu(+0); Spice Level: Mild(+0), Medium(+0), Hot(+0), Extra Hot(+1.00)",
Cendol,Traditional shaved ice dessert,Desserts,4.50,Yes,bowl,1,,10,Yes,Yes,No,No,,,traditional,,,,"Toppings: Extra Coconut Milk(+0.50), Red Beans(+0.50), Sweet Corn(+0.50)",
Ayam Penyet,Smashed fried chicken with sambal,Main Course,15.00,Yes,pax,1,,30,Yes,No,No,Yes,4,"gluten, soy","indonesian, spicy",13.50,5,,"Rice*: White Rice(+0), Coconut Rice(+1.00); Sambal Level*: Mild(+0), Medium(+0), Hot(+0), Extra Hot(+1.00); Extras: Fried Tofu(+2.00), Tempeh(+2.00), Vegetables(+1.50)",
Laksa Sarawak,Spicy coconut noodle soup,Main Course,9.50,Yes,bowl,1,,25,Yes,No,No,Yes,3,"shellfish, coconut","malaysian, spicy, soup",8.50,6,,"Protein*: Prawns(+0), Chicken(+0), Mixed(+1.00); Noodle Type: Rice Vermicelli(+0), Yellow Noodles(+0); Spice Level: Mild(+0), Medium(+0), Hot(+0)",
Kopi O,Traditional black coffee,Beverages,2.50,Yes,cup,1,,3,Yes,Yes,No,No,,,traditional,,,,"Sweetness: No Sugar(+0), Less Sweet(+0), Normal(+0), Extra Sweet(+0); Temperature: Hot(+0), Iced(+0.50)",
Char Kway Teow,Stir-fried flat rice noodles,Main Course,10.00,Yes,pax,1,,20,No,No,No,Yes,2,"gluten, soy, eggs","chinese, spicy",9.00,8,,"Protein*: Prawns(+2.00), Chicken(+1.50), Mixed Seafood(+3.00); Spice Level: Mild(+0), Medium(+0), Hot(+0); Extras: Cockles(+2.00), Chinese Sausage(+1.50)",
Satay Ayam,Grilled chicken skewers with peanut sauce,Appetizers,12.00,Yes,stick,5,20,15,Yes,No,No,No,,nuts,"malaysian, grilled",10.00,10,,"Quantity*: 5 sticks(+0), 10 sticks(+6.00), 15 sticks(+12.00); Sauce: Peanut Sauce(+0), Extra Peanut Sauce(+1.00)",
